Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,quarantine_reason
INC-9987,Stolen and recovered,,Contents,,,,2022-12-28 23:31:00,586490.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-9998,Theft,,Contents,,,,2022-12-28 07:30:00,1448.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-10024,Theft,,Vehicle,LAND ROVER,DISCOVERY XS TD5 A/T-2002-2005,2004.0,2022-12-25 09:00:00,16869.16,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10090,Theft,,Vehicle,MERCEDES-BENZ,E 350 COUPE-2009-2013,2012.0,2022-12-19 20:00:00,2910.11,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10106,Theft,,Vehicle,BMW,X4 xDRIVE20d M SPORT-2014-2018,2017.0,2022-12-18 04:00:00,42497.96,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10110,Theft,,Contents,,,,2022-12-17 23:00:00,54072.9,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-10133,Theft,,Vehicle,VOLKSWAGEN,TIGUAN 2.0 TSI HIGHLINE 4MOT DSG-2016-2022,2019.0,2022-12-16 22:09:00,29464.75,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10138,Theft,,Contents,,,,2022-12-16 07:12:00,24973.24,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-10250,Theft,,Contents,,,,2022-12-05 00:00:00,43979.7,Home contents - Theft,Theft,,,True,False,missing_suburb
INC-10288,Theft,,Vehicle,VOLKSWAGEN,CITI CHICO 1.4-2002-2006,2004.0,2022-12-02 09:29:00,12748.39,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10317,Theft,,Vehicle,VOLKSWAGEN,VELOCITI 1.4i-2006-2007,2007.0,2022-11-29 17:20:00,50915.79,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10356,Theft,,Vehicle,SUZUKI,IGNIS 1.2 GLX-2017-,2022.0,2022-11-26 12:30:00,2000.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10361,Theft,,Contents,,,,2022-11-26 07:30:00,8750.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-10407,Theft,,Vehicle,TOYOTA,HILUX 2.8 GD-6 RB LEGEND A/T P/U E/CAB-2020-,2021.0,2022-11-22 09:30:00,15257.32,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10416,Theft,,Contents,,,,2022-11-21 09:00:00,2450.73,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-10601,Theft,,Vehicle,TOYOTA,FORTUNER 3.0D-4D R/B-2011-2017,2012.0,2022-11-04 10:06:00,129389.8,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10614,Theft,,Vehicle,FORD,TOURNEO CUSTOM 2.2TDCi TREND LWB (92KW)-2013-2018,2015.0,2022-11-03 18:00:00,3816.65,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10621,Hijack,,Vehicle,HYUNDAI,TUCSON 2.0 PREMIUM A/T-2016-,2016.0,2022-11-02 22:00:00,20382.49,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-10626,Theft,,Vehicle,TOYOTA,HILUX 2.8 GD-6 RAIDER 4X4 P/U D/C-2018-2021,2020.0,2022-11-02 19:25:00,720600.56,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10662,Stolen and recovered,,Vehicle,MERCEDES-BENZ,GLA 45 AMG-2014-2017,2015.0,2022-10-30 06:52:00,317263.42,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-10695,Theft,,Vehicle,GWM,P-SERIES 2.0TD DLX A/T P/U D/C-2020-,2021.0,2022-10-28 12:00:00,2000.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10799,Theft,,Vehicle,VOLKSWAGEN,POLO CLASSIC 1.6 TRENDLINE-2005-2011,2006.0,2022-10-19 11:40:00,58868.2,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10806,Theft,,Vehicle,TOYOTA,YARIS T3 A/C 5Dr-2005-2010,2008.0,2022-10-18 13:29:00,79438.77,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10846,Theft,,Vehicle,TOYOTA,FORTUNER 2.4GD-6 R/B A/T-2020-,2020.0,2022-10-15 18:21:00,2664.07,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-10956,Theft,,Vehicle,VOLVO,XC60 2.0T POWERSHIFT-2010-2011,2010.0,2022-10-06 02:20:00,6526.66,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11051,Hijack,,Vehicle,VOLKSWAGEN,POLO 1.0 TSI HIGHLINE (85KW)-2017-2021,2018.0,2022-09-29 11:30:00,227175.74,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-11104,Theft,,Vehicle,BMW,X6 xDRIVE50i-2009-2012,2010.0,2022-09-24 12:30:00,26818.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11131,Hijack,,Vehicle,KIA,SPORTAGE 2.0 IGNITE-2016-2018,2018.0,2022-09-21 13:50:00,264150.21,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-11133,Theft,,Vehicle,TOYOTA,VERSO 160 SX-2005-2009,2007.0,2022-09-21 09:39:00,98755.58,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11166,Theft,,Vehicle,TOYOTA,FORTUNER 2.8GD-6 4X4 A/T-2016-2020,2018.0,2022-09-17 17:23:00,512832.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11167,Hijack,,Vehicle,MERCEDES-BENZ,C200 A/T-2018-,2018.0,2022-09-17 17:08:00,381778.16,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-11198,Theft,,Vehicle,TOYOTA,ETIOS 1.5 Xi 5Dr-2012-2022,2013.0,2022-09-14 14:17:00,82995.12,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11204,Theft,,Vehicle,VOLKSWAGEN,AMAROK 2.0 BiTDi HIGHLINE 132KW 4MOT D/C P/U-2012-2020,2015.0,2022-09-13 19:00:00,3766.25,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11208,Theft,,Vehicle,NISSAN,X TRAIL 1.6dCi VISIA 7S-2017-2022,2019.0,2022-09-13 11:09:00,3427.5,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11245,Theft,,Vehicle,NISSAN,HARDBODY 3000TD SEL (J45) P/U D/C-2002-2008,2008.0,2022-09-08 07:45:00,4612.08,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11250,Theft,,Vehicle,NISSAN,LIVINA 1.6 ACENTA+ X-GEAR-2008-2016,2013.0,2022-09-07 20:00:00,3766.25,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11260,Theft,,Vehicle,VOLKSWAGEN,POLO VIVO 1.4 COMFORTLINE (5DR)-2017-,2018.0,2022-09-07 03:30:00,153172.74,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11293,Theft,,Vehicle,GWM,STEED 5 2.2 MPi WORKHORSE P/U S/C-2012-2018,2013.0,2022-09-04 14:32:00,66500.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11295,Theft,,Vehicle,BMW,X3 xDRIVE 20d (G01)-2017-2022,2018.0,2022-09-04 13:52:00,225757.51,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11296,Hijack,,Vehicle,VOLKSWAGEN,POLO 2.0 GTI DSG (147KW)-2017-2022,2021.0,2022-09-04 12:56:00,511257.31,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-11315,Hijack,,Vehicle,AUDI,A3 1.4T FSI-2016-2018,2017.0,2022-09-03 08:58:00,26450.87,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-11322,Hijack,,Vehicle,RENAULT,KWID 1.0 EXPRESSION / LIFE 5DR-2019-,2022.0,2022-09-02 22:14:00,3800.01,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-11327,Theft,,Vehicle,FORD,EVEREST 3.2 TDCi LTD 4X4 A/T-2015-2020,2016.0,2022-09-02 13:00:00,2343.7,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11334,Hijack,,Vehicle,TOYOTA,RUSH 1.5-2018-2023,2018.0,2022-09-01 18:45:00,129012.16,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-11387,Theft,,Vehicle,MERCEDES-BENZ,V300d EXCLUSIVE-2020-,2022.0,2022-08-27 15:00:00,1316.65,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-11396,Theft,,Vehicle,TOYOTA,FORTUNER 2.4GD-6 R/B A/T-2016-2020,2019.0,2022-08-26 11:00:00,8528.29,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
