Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable
INC-9963,Theft,MARLOTH PARK,Contents,,,,2022-12-31 01:00:00,11280.0,Home contents - Theft,Theft,MARLOTH PARK,MARLOTH PARK,True,True
INC-9964,Theft,BOTHASIG,Vehicle,MERCEDES-BENZ,C180 CGI BE AVANTGARDE A/T-2010-2011,2010.0,2022-12-30 23:23:00,129079.22,Motor Vehicle - Theft,Theft,BOTHASIG,BOTHASIG,True,True
INC-9965,Theft,PHALABORWA,Contents,,,,2022-12-30 23:15:26,11548.0,Home contents - Theft,Theft,PHALABORWA,PHALABORWA,True,True
INC-9966,Burglary,THE HILL,Vehicle,FORD,RANGER 3.2TDCi XLT A/T P/U D/C-2015-2020,2018.0,2022-12-30 23:00:00,79782.64,Motor Vehicle - Theft,Theft,THE HILL,THE HILL,True,True
INC-9967,Burglary,THE HILL,Contents,,,,2022-12-30 23:00:00,383053.5,Home contents - Theft,Theft,THE HILL,THE HILL,True,True
INC-9968,Theft,BELLVILLE,Vehicle,PORSCHE,CAYENNE S TIPTRONIC (E3)-2018-,2021.0,2022-12-30 20:00:00,2500.0,Motor Vehicle - Theft,Theft,BELLVILLE,BELLVILLE,True,True
INC-9969,Hijack,DIEPSLOOT,Vehicle,MERCEDES-BENZ,A200 (4DR)-2019-2022,2020.0,2022-12-30 17:57:00,210141.79,Motor Vehicle - Theft,Hijack,DIEPSLOOT,DIEPSLOOT,True,True
INC-9970,Theft,HEUWELOORD,Contents,,,,2022-12-30 10:30:00,14509.0,Home contents - Theft,Theft,HEUWELOORD,HEUWELOORD,True,True
INC-9971,Theft,SANTOS BAY,Contents,,,,2022-12-30 06:00:00,2200.0,Home contents - Theft,Theft,SANTOS BAY,SANTOS BAY,True,True
INC-9972,Theft,KROONSTAD,Contents,,,,2022-12-30 00:00:00,13249.0,Home contents - Theft,Theft,KROONSTAD,KROONSTAD,True,False
INC-9973,Theft,ROODEPLAAT,Contents,,,,2022-12-30 00:00:00,194555.0,Home contents - Theft,Theft,ROODEPLAAT,ROODEPLAAT,True,False
INC-9974,Theft,NEWLANDS,Vehicle,VOLKSWAGEN,POLO GTi 1.8TSI DSG-2015-2018,2016.0,2022-12-29 23:17:00,84998.92,Motor Vehicle - Theft,Theft,NEWLANDS,NEWLANDS,True,True
INC-9975,Hijack,MABOPANE UNIT B,Vehicle,MERCEDES-BENZ,C200 A/T-2014-2018,2017.0,2022-12-29 22:52:00,416213.39,Motor Vehicle - Theft,Hijack,MABOPANE UNIT B,MABOPANE UNIT B,True,True
INC-9976,Theft,KEMPTON PARK OTHER,Contents,,,,2022-12-29 21:48:00,263004.22,Home contents - Theft,Theft,KEMPTON PARK OTHER,KEMPTON PARK OTHER,True,True
INC-9977,Hijack,EVANS PARK,Vehicle,LAND ROVER,EVOQUE 2.0D HSE R-DYNAMIC 147KW (D200)-2021-,2022.0,2022-12-29 21:30:00,182757.93,Motor Vehicle - Theft,Hijack,EVANS PARK,EVANS PARK,True,True
INC-9978,Theft,CHARTWELL,Contents,,,,2022-12-29 17:00:00,1639.0,Home contents - Theft,Theft,CHARTWELL,CHARTWELL,True,True
INC-9979,Theft,STEENBERG,Contents,,,,2022-12-29 15:30:00,37995.98,Home contents - Theft,Theft,STEENBERG,STEENBERG,True,True
INC-9980,Theft,ISIPINGO BEACH,Contents,,,,2022-12-29 14:00:00,41234.8,Home contents - Theft,Theft,ISIPINGO BEACH,ISIPINGO BEACH,True,True
