Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,METRO
INC-2300,Theft,NEWLANDS,Contents,,,,2025-05-14 16:00:00,224995.15,Home contents - Theft,Theft,NEWLANDS,NEWLANDS,True,True,Cape Town
INC-2308,Theft,NEWLANDS,Contents,,,,2025-05-14 03:00:00,31549.39,Home contents - Theft,Theft,NEWLANDS,NEWLANDS,True,True,Cape Town
INC-2316,Theft,WATERKLOOF RIDGE,Contents,,,,2025-05-13 03:00:00,102258.0,Home contents - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-2322,Theft,GARSFONTEIN,Contents,,,,2025-05-12 04:00:00,14323.0,Home contents - Theft,Theft,GARSFONTEIN,GARSFONTEIN,True,True,Gauteng
INC-2330,Theft,SEA POINT,Contents,,,,2025-05-10 07:49:00,13547.2,Home contents - Theft,Theft,SEA POINT,SEA POINT,True,True,Cape Town
INC-2332,Theft,BRYANSTON,Contents,,,,2025-05-09 23:00:00,12738.0,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-2335,Theft,BRYANSTON,Contents,,,,2025-05-09 14:01:00,135321.0,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-2347,Theft,TABLE VIEW,Contents,,,,2025-05-07 13:50:14,29475.0,Home contents - Theft,Theft,TABLE VIEW,TABLE VIEW,True,True,Cape Town
INC-2394,Accidental Damage,CAPE TOWN CITY CENTRE,Contents,,,,2025-04-30 16:34:00,14574.0,Home contents - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2398,Theft,RONDEBOSCH,Contents,,,,2025-04-30 10:30:51,52058.91,Home contents - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-2408,Theft,SOMERSET WEST,Contents,,,,2025-04-29 00:00:00,109840.0,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,False,Cape Town
INC-2438,Theft,BRYANSTON,Contents,,,,2025-04-25 10:03:00,14252.1,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-2455,Theft,CAPE TOWN CITY CENTRE,Vehicle,PORSCHE,CAYENNE S DIESEL (E2 GEN II)-2014-2018,2016.0,2025-04-23 00:15:00,9276.19,Motor Vehicle - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2457,Theft,BRYANSTON,Vehicle,VOLKSWAGEN,AMAROK 2.0BITDI 154KW 4MOT LIFE A/T D/C P/U-2023-,2024.0,2025-04-22 11:00:00,5805.11,Motor Vehicle - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-2462,Theft,SOMERSET WEST,Contents,,,,2025-04-21 05:33:00,1754647.58,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2463,Theft,SOMERSET WEST,Vehicle,FORD,TRANSIT CUSTOM KOMBI 2.2TDCi AMB LWB F/C P/V-2015-2018,2018.0,2025-04-21 05:33:00,179715.55,Motor Vehicle - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2470,Theft,SOMERSET WEST,Vehicle,MERCEDES-BENZ,A 170 AVANTGARDE A/T-2005-2008,2006.0,2025-04-20 10:25:00,8691.42,Motor Vehicle - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2484,Theft,CAPE TOWN CITY CENTRE,Vehicle,HYUNDAI,i20 1.4 FLUID-2012-2015,2014.0,2025-04-18 16:00:00,1750.0,Motor Vehicle - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2499,Theft,BEDFORDVIEW,Vehicle,RENAULT,SANDERO 1.6 EXPRESSION+ PACK-2009-2010,2010.0,2025-04-17 14:50:00,56835.12,Motor Vehicle - Theft,Theft,BEDFORDVIEW,BEDFORDVIEW,True,True,Gauteng
INC-2519,Theft,SOMERSET WEST,Contents,,,,2025-04-14 16:00:00,29932.44,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2520,Theft,CAPE TOWN CITY CENTRE,Contents,,,,2025-04-14 11:00:00,23599.0,Home contents - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2522,Theft,BRYANSTON,Contents,,,,2025-04-14 08:45:27,25749.0,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-2538,Theft,SEA POINT,Vehicle,RENAULT,CAPTUR 900T DYNAMIQUE 5DR (66KW)-2015-2022,2015.0,2025-04-10 17:00:00,111331.34,Motor Vehicle - Theft,Theft,SEA POINT,SEA POINT,True,True,Cape Town
INC-2551,Theft,FOURWAYS,Contents,,,,2025-04-09 03:34:00,7079.0,Home contents - Theft,Theft,FOURWAYS,FOURWAYS,True,True,Gauteng
INC-2589,Theft,BRYANSTON,Contents,,,,2025-04-04 08:00:00,91988.5,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
