feature,coefficient,absolute_importance,effect
categorical__VEHICLE_MAKE_AUDI,0.31981580946156374,0.31981580946156374,increases high-value likelihood
categorical__SUBURB_MONUMENT,0.31752162457160077,0.31752162457160077,increases high-value likelihood
categorical__SUBURB_ARCADIA,0.3147217429300946,0.3147217429300946,increases high-value likelihood
categorical__SUBURB_SUNNINGDALE,-0.31274188558363586,0.31274188558363586,decreases high-value likelihood
categorical__SUBURB_ROODEPLAAT,0.3045034231309381,0.3045034231309381,increases high-value likelihood
categorical__SUBURB_DURBAN NORTH,-0.3019729861032317,0.3019729861032317,decreases high-value likelihood
categorical__SUBURB_FAERIE GLEN,0.3000254280832931,0.3000254280832931,increases high-value likelihood
categorical__SUBURB_MEYERTON,0.29938464118065017,0.29938464118065017,increases high-value likelihood
categorical__ITEM_CATEGORY_Motor Vehicle - Theft,0.29912665509925684,0.29912665509925684,increases high-value likelihood
categorical__SUBURB_ORANJEZICHT,0.2970600419491456,0.2970600419491456,increases high-value likelihood
categorical__SUBURB_CONSTANTIA,0.29699840787309634,0.29699840787309634,increases high-value likelihood
categorical__SUBURB_VALHALLA,0.29359194355181706,0.29359194355181706,increases high-value likelihood
categorical__SUBURB_MOSSEL BAY,0.29301145832920067,0.29301145832920067,increases high-value likelihood
categorical__SUBURB_HOUT BAY,0.2925688909628586,0.2925688909628586,increases high-value likelihood
categorical__SUBURB_GLENHAZEL,0.29166318641349825,0.29166318641349825,increases high-value likelihood
categorical__SUBURB_KENSINGTON,-0.2916085701942087,0.2916085701942087,decreases high-value likelihood
categorical__SUBURB_ROODEKRANS,0.2891843880451688,0.2891843880451688,increases high-value likelihood
categorical__SUBURB_MBOMBELA,-0.2854593987252816,0.2854593987252816,decreases high-value likelihood
categorical__SUBURB_BONAERO PARK,-0.2848535676237411,0.2848535676237411,decreases high-value likelihood
categorical__ITEM_TYPE_Contents,-0.282024669614304,0.282024669614304,decreases high-value likelihood
categorical__SUBURB_BROOKLYN,0.2797711596415139,0.2797711596415139,increases high-value likelihood
categorical__SUBURB_SANDOWN,0.2792055232040978,0.2792055232040978,increases high-value likelihood
categorical__SUBURB_SUNWARD PARK,0.27702337715399566,0.27702337715399566,increases high-value likelihood
categorical__SUBURB_LORRAINE,-0.2733631453130457,0.2733631453130457,decreases high-value likelihood
numeric__VEHICLE_AGE_AT_INCIDENT,0.26998870544952136,0.26998870544952136,increases high-value likelihood
categorical__SUBURB_WYNBERG,-0.26919853093603885,0.26919853093603885,decreases high-value likelihood
categorical__SUBURB_LYNNWOOD RIDGE,-0.26867150046053273,0.26867150046053273,decreases high-value likelihood
categorical__SUBURB_DIE WILGERS,0.266156873085322,0.266156873085322,increases high-value likelihood
categorical__SUBURB_SCHOEMANSVILLE,0.26475536633533575,0.26475536633533575,increases high-value likelihood
categorical__SUBURB_KRUGERSDORP,-0.26190416589833354,0.26190416589833354,decreases high-value likelihood
categorical__SUBURB_ILLOVO,0.2604447110231075,0.2604447110231075,increases high-value likelihood
categorical__VEHICLE_MAKE_MAHINDRA,0.2599862147808804,0.2599862147808804,increases high-value likelihood
categorical__PERIL_Stolen and recovered,0.25659748773085217,0.25659748773085217,increases high-value likelihood
categorical__INCIDENT_DAY_NAME_Tuesday,-0.2533122758137865,0.2533122758137865,decreases high-value likelihood
categorical__SUBURB_FAUNA,-0.2526384049267042,0.2526384049267042,decreases high-value likelihood
categorical__SUBURB_GLENMARAIS,0.25206377303952815,0.25206377303952815,increases high-value likelihood
categorical__SUBURB_NOORDHEUWEL,0.2514376308477766,0.2514376308477766,increases high-value likelihood
categorical__SUBURB_HILLCREST,0.2490323011693415,0.2490323011693415,increases high-value likelihood
categorical__SUBURB_PARKMORE,0.24816494785539087,0.24816494785539087,increases high-value likelihood
categorical__SUBURB_SUNNYSIDE,0.24710148156576758,0.24710148156576758,increases high-value likelihood
categorical__VEHICLE_MAKE_CHERY,0.24559321571276163,0.24559321571276163,increases high-value likelihood
categorical__SUBURB_RONDEBOSCH,-0.2432348940799207,0.2432348940799207,decreases high-value likelihood
categorical__SUBURB_LOMBARDY EAST,0.24065114040232444,0.24065114040232444,increases high-value likelihood
categorical__SUBURB_PINELANDS,0.23121521582562068,0.23121521582562068,increases high-value likelihood
categorical__SUBURB_GORDONS BAY,0.22597024498730087,0.22597024498730087,increases high-value likelihood
categorical__SUBURB_LYNNWOOD,0.22447692710499048,0.22447692710499048,increases high-value likelihood
categorical__SUBURB_GROOTFONTEIN COUNTRY ESTATES,0.2226323303596644,0.2226323303596644,increases high-value likelihood
categorical__SUBURB_PARKTOWN,0.21338851760713623,0.21338851760713623,increases high-value likelihood
categorical__SUBURB_VOSLOORUS,-0.20714557698520888,0.20714557698520888,decreases high-value likelihood
categorical__SUBURB_NORTHMEAD,0.20636753806475422,0.20636753806475422,increases high-value likelihood
categorical__VEHICLE_MAKE_UNKNOWN,0.2060071726814911,0.2060071726814911,increases high-value likelihood
categorical__SUBURB_GEORGE,-0.20337743984626508,0.20337743984626508,decreases high-value likelihood
categorical__VEHICLE_MAKE_FORD,0.20234931207450366,0.20234931207450366,increases high-value likelihood
categorical__SUBURB_HENLEY ON KLIP,0.19933236133887794,0.19933236133887794,increases high-value likelihood
categorical__SUBURB_NORWOOD,0.19919565350423263,0.19919565350423263,increases high-value likelihood
categorical__SUBURB_BRACKENFELL SOUTH,-0.19684019503885605,0.19684019503885605,decreases high-value likelihood
categorical__INCIDENT_DAY_NAME_Saturday,0.19641041876499654,0.19641041876499654,increases high-value likelihood
categorical__SUBURB_MONUMENT PARK,0.19335402606829996,0.19335402606829996,increases high-value likelihood
categorical__SUBURB_WAVERLEY,-0.17762399776129204,0.17762399776129204,decreases high-value likelihood
categorical__SUBURB_NORTHome contentsLIFF,-0.17001272078976537,0.17001272078976537,decreases high-value likelihood
