Station,Crime_Category,Incidents,Year
Alexandra,Murder,122,2025/2026
Alexandra,Neglect and ill-treatment of children,9,2025/2026
Alexandra,Other serious Crime,1122,2025/2026
Alexandra,Property-related Crime,514,2025/2026
Alexandra,Public violence,1,2025/2026
Alexandra,Rape,162,2025/2026
Alexandra,Robbery at non-residential premises,42,2025/2026
Alexandra,Robbery at residential premises,58,2025/2026
Alexandra,Robbery of cash in transit,1,2025/2026
Alexandra,Robbery with aggravating circumstances,651,2025/2026
Alexandra,Sexual assault,39,2025/2026
Alexandra,Sexual offences,209,2025/2026
Alexandra,Sexual offences detected as a result of police action,1,2025/2026
Alexandra,Shoplifting,225,2025/2026
Alexandra,Stock-theft,0,2025/2026
Alexandra,TRIO Crime,327,2025/2026
Alexandra,Theft of motor vehicle and motorcycle,233,2025/2026
Alexandra,Theft out of or from motor vehicle,85,2025/2026
Alexandra,Truck hijacking,1,2025/2026
Alexandra Road,17 Community reported serious Crime,3140,2025/2026
Alexandra Road,Abduction,0,2025/2026
Alexandra Road,All theft not mentioned elsewhere,595,2025/2026
Alexandra Road,Arson,3,2025/2026
Alexandra Road,Assault with the intent to inflict grievous bodily harm,146,2025/2026
Alexandra Road,Attempted murder,93,2025/2026
Alexandra Road,Attempted sexual offences,5,2025/2026
Alexandra Road,Bank robbery,0,2025/2026
Alexandra Road,Burglary at non-residential premises,60,2025/2026
Alexandra Road,Burglary at residential premises,470,2025/2026
Alexandra Road,Carjacking,20,2025/2026
Alexandra Road,Commercial crime,414,2025/2026
Alexandra Road,Common assault,330,2025/2026
Alexandra Road,Common robbery,109,2025/2026
Alexandra Road,Contact crime (Crimes against the person),1047,2025/2026
Alexandra Road,Contact sexual offences,1,2025/2026
Alexandra Road,Contact-related Crime,162,2025/2026
Alexandra Road,Crime detected as a result of police action,675,2025/2026
Alexandra Road,Crimen injuria,44,2025/2026
Alexandra Road,Culpable homicide,18,2025/2026
Alexandra Road,Driving under the influence of alcohol or drugs,318,2025/2026
Alexandra Road,Drug-related crime,350,2025/2026
Alexandra Road,Illegal possession of firearms and ammunition,7,2025/2026
Alexandra Road,Kidnapping,25,2025/2026
Alexandra Road,Malicious damage to property,159,2025/2026
Alexandra Road,Murder,26,2025/2026
Alexandra Road,Neglect and ill-treatment of children,1,2025/2026
Alexandra Road,Other serious Crime,1086,2025/2026
Alexandra Road,Property-related Crime,845,2025/2026
Alexandra Road,Public violence,1,2025/2026
Alexandra Road,Rape,55,2025/2026
Alexandra Road,Robbery at non-residential premises,7,2025/2026
Alexandra Road,Robbery at residential premises,77,2025/2026
Alexandra Road,Robbery of cash in transit,1,2025/2026
Alexandra Road,Robbery with aggravating circumstances,269,2025/2026
Alexandra Road,Sexual assault,13,2025/2026
Alexandra Road,Sexual offences,74,2025/2026
Alexandra Road,Sexual offences detected as a result of police action,0,2025/2026
Alexandra Road,Shoplifting,77,2025/2026
Alexandra Road,Stock-theft,9,2025/2026
Alexandra Road,TRIO Crime,104,2025/2026
Alexandra Road,Theft of motor vehicle and motorcycle,81,2025/2026
Alexandra Road,Theft out of or from motor vehicle,225,2025/2026
Alexandra Road,Truck hijacking,2,2025/2026
Alexandria,17 Community reported serious Crime,621,2025/2026
Alexandria,Abduction,0,2025/2026
Alexandria,All theft not mentioned elsewhere,199,2025/2026
Alexandria,Arson,1,2025/2026
Alexandria,Assault with the intent to inflict grievous bodily harm,84,2025/2026
Alexandria,Attempted murder,7,2025/2026
Alexandria,Attempted sexual offences,2,2025/2026
Alexandria,Bank robbery,0,2025/2026
Alexandria,Burglary at non-residential premises,46,2025/2026
Alexandria,Burglary at residential premises,54,2025/2026
Alexandria,Carjacking,0,2025/2026
Alexandria,Commercial crime,33,2025/2026
Alexandria,Common assault,62,2025/2026
